100000 50000
5 45451 81
8 81870 61
17 59356 45
21 29188 8
24 48921 27
26 6155 65
26 88884 99
27 97506 44
28 85702 59
29 14695 40
30 75768 31
33 1725 50
34 51284 42
36 93025 95
36 45992 44
37 72823 86
39 48590 97
40 47944 91
40 82990 79
42 40141 89
44 18700 62
49 17251 96
52 42458 16
53 29442 6
54 17180 82
57 55829 40
57 58947 19
58 21279 22
59 14570 40
59 81299 43
60 3165 14
63 16627 81
63 86512 98
64 82990 34
65 56736 82
68 13336 53
69 11132 25
70 14150 53
72 30500 31
74 62275 70
75 50780 87
82 67708 51
84 43875 61
87 63869 42
88 40561 98
89 33947 80
92 10900 70
93 14002 29
94 51279 95
95 66549 63
96 61025 87
97 941 17
97 46320 17
102 92646 14
105 82133 22
105 78969 50
106 57734 24
108 73956 10
118 27907 13
119 5229 26
123 53267 76
124 27197 16
125 69710 65
128 54756 28
129 10558 61
130 77291 86
140 8879 66
140 82394 97
142 18654 54
142 12052 39
146 51596 93
147 16159 9
149 95125 28
150 93058 58
151 99250 100
152 81405 35
153 32879 42
156 45007 51
157 18215 76
159 47074 42
168 97472 33
169 57938 7
169 6090 87
172 97759 28
173 32389 69
175 86358 10
180 28438 82
180 31025 84
182 13525 76
184 62920 5
186 38121 66
186 20930 11
188 46821 23
191 37354 22
198 4308 22
202 85821 4
205 88672 67
208 6647 50
210 85525 13
217 25180 59
218 19090 19
224 4569 69
225 19356 30
229 52953 60
229 760 21
229 99508 39
231 6250 94
232 51426 29
232 36666 21
234 14076 62
235 86134 94
235 88820 8
236 77373 35
236 69130 29
238 17780 19
238 27349 21
240 68387 71
240 2194 35
241 35881 11
246 79561 22
249 45401 23
250 83332 56
251 66301 16
252 93448 32
254 8815 4
255 80137 57
256 20810 35
258 93905 6
262 76406 55
263 61165 9
265 1827 87
268 99115 85
269 94645 61
269 43008 45
269 44239 53
270 81154 97
270 88613 78
273 81395 80
275 95414 96
275 64206 63
276 44273 12
282 9962 44
283 2149 49
285 9654 33
286 14443 50
287 77063 63
287 77088 77
291 82996 1
292 22879 53
293 99783 98
293 28369 89
299 75122 64
307 90605 62
